nat,inside,start_port,end_port
5.38.72.61,10.48.20.61,45146,46842
5.38.72.61,10.48.21.61,46843,48539
5.38.72.61,10.48.22.61,48540,50236
5.38.72.61,10.48.23.61,50237,51933
5.38.72.61,10.48.24.61,51934,53630
5.38.72.61,10.48.25.61,53631,55327
5.38.72.61,10.48.26.61,55328,57024
5.38.72.61,10.48.27.61,57025,58721
5.38.72.61,10.48.28.61,58722,60418
5.38.72.61,10.48.29.61,60419,62115
5.38.72.61,10.48.30.61,62116,63812
5.38.72.61,10.48.31.61,63813,65509
5.38.72.62,10.11.4.62,1024,2720
5.38.72.62,10.11.5.62,2721,4417
5.38.72.62,10.11.6.62,4418,6114
5.38.72.62,10.11.7.62,6115,7811
5.38.72.62,10.11.8.62,7812,9508
5.38.72.62,10.11.9.62,9509,11205
5.38.72.62,10.11.10.62,11206,12902
5.38.72.62,10.11.11.62,12903,14599
5.38.72.62,10.11.12.62,14600,16296
5.38.72.62,10.11.13.62,16297,17993
5.38.72.62,10.11.14.62,17994,19690
5.38.72.62,10.11.15.62,19691,21387
5.38.72.62,10.48.0.62,21388,23084
5.38.72.62,10.48.1.62,23085,24781
5.38.72.62,10.48.8.62,24782,26478
5.38.72.62,10.48.9.62,26479,28175
5.38.72.62,10.48.10.62,28176,29872
5.38.72.62,10.48.11.62,29873,31569
5.38.72.62,10.48.12.62,31570,33266
5.38.72.62,10.48.13.62,33267,34963
5.38.72.62,10.48.14.62,34964,36660
5.38.72.62,10.48.15.62,36661,38357
5.38.72.62,10.48.16.62,38358,40054
5.38.72.62,10.48.17.62,40055,41751
5.38.72.62,10.48.18.62,41752,43448
5.38.72.62,10.48.19.62,43449,45145
5.38.72.62,10.48.20.62,45146,46842
5.38.72.62,10.48.21.62,46843,48539
5.38.72.62,10.48.22.62,48540,50236
5.38.72.62,10.48.23.62,50237,51933
5.38.72.62,10.48.24.62,51934,53630
5.38.72.62,10.48.25.62,53631,55327
5.38.72.62,10.48.26.62,55328,57024
5.38.72.62,10.48.27.62,57025,58721
5.38.72.62,10.48.28.62,58722,60418
5.38.72.62,10.48.29.62,60419,62115
5.38.72.62,10.48.30.62,62116,63812
5.38.72.62,10.48.31.62,63813,65509
5.38.72.63,10.11.4.63,1024,2720
5.38.72.63,10.11.5.63,2721,4417
5.38.72.63,10.11.6.63,4418,6114
5.38.72.63,10.11.7.63,6115,7811
5.38.72.63,10.11.8.63,7812,9508
5.38.72.63,10.11.9.63,9509,11205
5.38.72.63,10.11.10.63,11206,12902
5.38.72.63,10.11.11.63,12903,14599
5.38.72.63,10.11.12.63,14600,16296
5.38.72.63,10.11.13.63,16297,17993
5.38.72.63,10.11.14.63,17994,19690
5.38.72.63,10.11.15.63,19691,21387
5.38.72.63,10.48.0.63,21388,23084
5.38.72.63,10.48.1.63,23085,24781
5.38.72.63,10.48.8.63,24782,26478
5.38.72.63,10.48.9.63,26479,28175
5.38.72.63,10.48.10.63,28176,29872
5.38.72.63,10.48.11.63,29873,31569
5.38.72.63,10.48.12.63,31570,33266
5.38.72.63,10.48.13.63,33267,34963
5.38.72.63,10.48.14.63,34964,36660
5.38.72.63,10.48.15.63,36661,38357
5.38.72.63,10.48.16.63,38358,40054
5.38.72.63,10.48.17.63,40055,41751
5.38.72.63,10.48.18.63,41752,43448
5.38.72.63,10.48.19.63,43449,45145
5.38.72.63,10.48.20.63,45146,46842
5.38.72.63,10.48.21.63,46843,48539
5.38.72.63,10.48.22.63,48540,50236
5.38.72.63,10.48.23.63,50237,51933
5.38.72.63,10.48.24.63,51934,53630
5.38.72.63,10.48.25.63,53631,55327
5.38.72.63,10.48.26.63,55328,57024
5.38.72.63,10.48.27.63,57025,58721
5.38.72.63,10.48.28.63,58722,60418
5.38.72.63,10.48.29.63,60419,62115
5.38.72.63,10.48.30.63,62116,63812
5.38.72.63,10.48.31.63,63813,65509
5.38.72.64,10.11.4.64,1024,2720
5.38.72.64,10.11.5.64,2721,4417
5.38.72.64,10.11.6.64,4418,6114
5.38.72.64,10.11.7.64,6115,7811
5.38.72.64,10.11.8.64,7812,9508
5.38.72.64,10.11.9.64,9509,11205
5.38.72.64,10.11.10.64,11206,12902
5.38.72.64,10.11.11.64,12903,14599
5.38.72.64,10.11.12.64,14600,16296
5.38.72.64,10.11.13.64,16297,17993
5.38.72.64,10.11.14.64,17994,19690
5.38.72.64,10.11.15.64,19691,21387
5.38.72.64,10.48.0.64,21388,23084
5.38.72.64,10.48.1.64,23085,24781
5.38.72.64,10.48.8.64,24782,26478
5.38.72.64,10.48.9.64,26479,28175
5.38.72.64,10.48.10.64,28176,29872
5.38.72.64,10.48.11.64,29873,31569
5.38.72.64,10.48.12.64,31570,33266
5.38.72.64,10.48.13.64,33267,34963
5.38.72.64,10.48.14.64,34964,36660
5.38.72.64,10.48.15.64,36661,38357
5.38.72.64,10.48.16.64,38358,40054
5.38.72.64,10.48.17.64,40055,41751
5.38.72.64,10.48.18.64,41752,43448
5.38.72.64,10.48.19.64,43449,45145
5.38.72.64,10.48.20.64,45146,46842
5.38.72.64,10.48.21.64,46843,48539
5.38.72.64,10.48.22.64,48540,50236
5.38.72.64,10.48.23.64,50237,51933
5.38.72.64,10.48.24.64,51934,53630
5.38.72.64,10.48.25.64,53631,55327
5.38.72.64,10.48.26.64,55328,57024
5.38.72.64,10.48.27.64,57025,58721
5.38.72.64,10.48.28.64,58722,60418
5.38.72.64,10.48.29.64,60419,62115
5.38.72.64,10.48.30.64,62116,63812
5.38.72.64,10.48.31.64,63813,65509
5.38.72.65,10.11.4.65,1024,2720
5.38.72.65,10.11.5.65,2721,4417
5.38.72.65,10.11.6.65,4418,6114
5.38.72.65,10.11.7.65,6115,7811
5.38.72.65,10.11.8.65,7812,9508
5.38.72.65,10.11.9.65,9509,11205
5.38.72.65,10.11.10.65,11206,12902
5.38.72.65,10.11.11.65,12903,14599
5.38.72.65,10.11.12.65,14600,16296
5.38.72.65,10.11.13.65,16297,17993
5.38.72.65,10.11.14.65,17994,19690
5.38.72.65,10.11.15.65,19691,21387
5.38.72.65,10.48.0.65,21388,23084
5.38.72.65,10.48.1.65,23085,24781
5.38.72.65,10.48.8.65,24782,26478
5.38.72.65,10.48.9.65,26479,28175
5.38.72.65,10.48.10.65,28176,29872
5.38.72.65,10.48.11.65,29873,31569
5.38.72.65,10.48.12.65,31570,33266
5.38.72.65,10.48.13.65,33267,34963
5.38.72.65,10.48.14.65,34964,36660
5.38.72.65,10.48.15.65,36661,38357
5.38.72.65,10.48.16.65,38358,40054
5.38.72.65,10.48.17.65,40055,41751
5.38.72.65,10.48.18.65,41752,43448
5.38.72.65,10.48.19.65,43449,45145
5.38.72.65,10.48.20.65,45146,46842
5.38.72.65,10.48.21.65,46843,48539
5.38.72.65,10.48.22.65,48540,50236
5.38.72.65,10.48.23.65,50237,51933
5.38.72.65,10.48.24.65,51934,53630
5.38.72.65,10.48.25.65,53631,55327
5.38.72.65,10.48.26.65,55328,57024
5.38.72.65,10.48.27.65,57025,58721
5.38.72.65,10.48.28.65,58722,60418
5.38.72.65,10.48.29.65,60419,62115
5.38.72.65,10.48.30.65,62116,63812
5.38.72.65,10.48.31.65,63813,65509
5.38.72.66,10.11.4.66,1024,2720
5.38.72.66,10.11.5.66,2721,4417
5.38.72.66,10.11.6.66,4418,6114
5.38.72.66,10.11.7.66,6115,7811
5.38.72.66,10.11.8.66,7812,9508
5.38.72.66,10.11.9.66,9509,11205
5.38.72.66,10.11.10.66,11206,12902
5.38.72.66,10.11.11.66,12903,14599
5.38.72.66,10.11.12.66,14600,16296
5.38.72.66,10.11.13.66,16297,17993
5.38.72.66,10.11.14.66,17994,19690
5.38.72.66,10.11.15.66,19691,21387
5.38.72.66,10.48.0.66,21388,23084
5.38.72.66,10.48.1.66,23085,24781
5.38.72.66,10.48.8.66,24782,26478
5.38.72.66,10.48.9.66,26479,28175
5.38.72.66,10.48.10.66,28176,29872
5.38.72.66,10.48.11.66,29873,31569
5.38.72.66,10.48.12.66,31570,33266
5.38.72.66,10.48.13.66,33267,34963
5.38.72.66,10.48.14.66,34964,36660
5.38.72.66,10.48.15.66,36661,38357
5.38.72.66,10.48.16.66,38358,40054
5.38.72.66,10.48.17.66,40055,41751
5.38.72.66,10.48.18.66,41752,43448
5.38.72.66,10.48.19.66,43449,45145
5.38.72.66,10.48.20.66,45146,46842
5.38.72.66,10.48.21.66,46843,48539
5.38.72.66,10.48.22.66,48540,50236
5.38.72.66,10.48.23.66,50237,51933
5.38.72.66,10.48.24.66,51934,53630
5.38.72.66,10.48.25.66,53631,55327
5.38.72.66,10.48.26.66,55328,57024
5.38.72.66,10.48.27.66,57025,58721
5.38.72.66,10.48.28.66,58722,60418
5.38.72.66,10.48.29.66,60419,62115
5.38.72.66,10.48.30.66,62116,63812
5.38.72.66,10.48.31.66,63813,65509
5.38.72.67,10.11.4.67,1024,2720
5.38.72.67,10.11.5.67,2721,4417
5.38.72.67,10.11.6.67,4418,6114
5.38.72.67,10.11.7.67,6115,7811
5.38.72.67,10.11.8.67,7812,9508
5.38.72.67,10.11.9.67,9509,11205
5.38.72.67,10.11.10.67,11206,12902
5.38.72.67,10.11.11.67,12903,14599
5.38.72.67,10.11.12.67,14600,16296
5.38.72.67,10.11.13.67,16297,17993
5.38.72.67,10.11.14.67,17994,19690
5.38.72.67,10.11.15.67,19691,21387
5.38.72.67,10.48.0.67,21388,23084
5.38.72.67,10.48.1.67,23085,24781
5.38.72.67,10.48.8.67,24782,26478
5.38.72.67,10.48.9.67,26479,28175
5.38.72.67,10.48.10.67,28176,29872
5.38.72.67,10.48.11.67,29873,31569
5.38.72.67,10.48.12.67,31570,33266
5.38.72.67,10.48.13.67,33267,34963
5.38.72.67,10.48.14.67,34964,36660
5.38.72.67,10.48.15.67,36661,38357
5.38.72.67,10.48.16.67,38358,40054
5.38.72.67,10.48.17.67,40055,41751
5.38.72.67,10.48.18.67,41752,43448
5.38.72.67,10.48.19.67,43449,45145
5.38.72.67,10.48.20.67,45146,46842
5.38.72.67,10.48.21.67,46843,48539
5.38.72.67,10.48.22.67,48540,50236
5.38.72.67,10.48.23.67,50237,51933
5.38.72.67,10.48.24.67,51934,53630
5.38.72.67,10.48.25.67,53631,55327
5.38.72.67,10.48.26.67,55328,57024
5.38.72.67,10.48.27.67,57025,58721
5.38.72.67,10.48.28.67,58722,60418
5.38.72.67,10.48.29.67,60419,62115
5.38.72.67,10.48.30.67,62116,63812
5.38.72.67,10.48.31.67,63813,65509
5.38.72.68,10.11.4.68,1024,2720
5.38.72.68,10.11.5.68,2721,4417
5.38.72.68,10.11.6.68,4418,6114
5.38.72.68,10.11.7.68,6115,7811
5.38.72.68,10.11.8.68,7812,9508
5.38.72.68,10.11.9.68,9509,11205
5.38.72.68,10.11.10.68,11206,12902
5.38.72.68,10.11.11.68,12903,14599
5.38.72.68,10.11.12.68,14600,16296
5.38.72.68,10.11.13.68,16297,17993
5.38.72.68,10.11.14.68,17994,19690
5.38.72.68,10.11.15.68,19691,21387
5.38.72.68,10.48.0.68,21388,23084
5.38.72.68,10.48.1.68,23085,24781
5.38.72.68,10.48.8.68,24782,26478
5.38.72.68,10.48.9.68,26479,28175
5.38.72.68,10.48.10.68,28176,29872
5.38.72.68,10.48.11.68,29873,31569
5.38.72.68,10.48.12.68,31570,33266
5.38.72.68,10.48.13.68,33267,34963
5.38.72.68,10.48.14.68,34964,36660
5.38.72.68,10.48.15.68,36661,38357
5.38.72.68,10.48.16.68,38358,40054
5.38.72.68,10.48.17.68,40055,41751
5.38.72.68,10.48.18.68,41752,43448
5.38.72.68,10.48.19.68,43449,45145
5.38.72.68,10.48.20.68,45146,46842
5.38.72.68,10.48.21.68,46843,48539
5.38.72.68,10.48.22.68,48540,50236
5.38.72.68,10.48.23.68,50237,51933
5.38.72.68,10.48.24.68,51934,53630
5.38.72.68,10.48.25.68,53631,55327
5.38.72.68,10.48.26.68,55328,57024
5.38.72.68,10.48.27.68,57025,58721
5.38.72.68,10.48.28.68,58722,60418
5.38.72.68,10.48.29.68,60419,62115
5.38.72.68,10.48.30.68,62116,63812
5.38.72.68,10.48.31.68,63813,65509
5.38.72.69,10.11.4.69,1024,2720
5.38.72.69,10.11.5.69,2721,4417
5.38.72.69,10.11.6.69,4418,6114
5.38.72.69,10.11.7.69,6115,7811
5.38.72.69,10.11.8.69,7812,9508
5.38.72.69,10.11.9.69,9509,11205
5.38.72.69,10.11.10.69,11206,12902
5.38.72.69,10.11.11.69,12903,14599
5.38.72.69,10.11.12.69,14600,16296
5.38.72.69,10.11.13.69,16297,17993
5.38.72.69,10.11.14.69,17994,19690
5.38.72.69,10.11.15.69,19691,21387
5.38.72.69,10.48.0.69,21388,23084
5.38.72.69,10.48.1.69,23085,24781
5.38.72.69,10.48.8.69,24782,26478
5.38.72.69,10.48.9.69,26479,28175
5.38.72.69,10.48.10.69,28176,29872
5.38.72.69,10.48.11.69,29873,31569
5.38.72.69,10.48.12.69,31570,33266
5.38.72.69,10.48.13.69,33267,34963
5.38.72.69,10.48.14.69,34964,36660
5.38.72.69,10.48.15.69,36661,38357
5.38.72.69,10.48.16.69,38358,40054
5.38.72.69,10.48.17.69,40055,41751
5.38.72.69,10.48.18.69,41752,43448
5.38.72.69,10.48.19.69,43449,45145
5.38.72.69,10.48.20.69,45146,46842
5.38.72.69,10.48.21.69,46843,48539
5.38.72.69,10.48.22.69,48540,50236
5.38.72.69,10.48.23.69,50237,51933
5.38.72.69,10.48.24.69,51934,53630
5.38.72.69,10.48.25.69,53631,55327
5.38.72.69,10.48.26.69,55328,57024
5.38.72.69,10.48.27.69,57025,58721
5.38.72.69,10.48.28.69,58722,60418
5.38.72.69,10.48.29.69,60419,62115
5.38.72.69,10.48.30.69,62116,63812
5.38.72.69,10.48.31.69,63813,65509
5.38.72.70,10.11.4.70,1024,2720
5.38.72.70,10.11.5.70,2721,4417
5.38.72.70,10.11.6.70,4418,6114
5.38.72.70,10.11.7.70,6115,7811
5.38.72.70,10.11.8.70,7812,9508
5.38.72.70,10.11.9.70,9509,11205
5.38.72.70,10.11.10.70,11206,12902
5.38.72.70,10.11.11.70,12903,14599
5.38.72.70,10.11.12.70,14600,16296
5.38.72.70,10.11.13.70,16297,17993
5.38.72.70,10.11.14.70,17994,19690
5.38.72.70,10.11.15.70,19691,21387
5.38.72.70,10.48.0.70,21388,23084
5.38.72.70,10.48.1.70,23085,24781
5.38.72.70,10.48.8.70,24782,26478
5.38.72.70,10.48.9.70,26479,28175
5.38.72.70,10.48.10.70,28176,29872
5.38.72.70,10.48.11.70,29873,31569
5.38.72.70,10.48.12.70,31570,33266
5.38.72.70,10.48.13.70,33267,34963
5.38.72.70,10.48.14.70,34964,36660
5.38.72.70,10.48.15.70,36661,38357
5.38.72.70,10.48.16.70,38358,40054
5.38.72.70,10.48.17.70,40055,41751
5.38.72.70,10.48.18.70,41752,43448
5.38.72.70,10.48.19.70,43449,45145
5.38.72.70,10.48.20.70,45146,46842
5.38.72.70,10.48.21.70,46843,48539
5.38.72.70,10.48.22.70,48540,50236
5.38.72.70,10.48.23.70,50237,51933
5.38.72.70,10.48.24.70,51934,53630
5.38.72.70,10.48.25.70,53631,55327
5.38.72.70,10.48.26.70,55328,57024
5.38.72.70,10.48.27.70,57025,58721
5.38.72.70,10.48.28.70,58722,60418
5.38.72.70,10.48.29.70,60419,62115
5.38.72.70,10.48.30.70,62116,63812
5.38.72.70,10.48.31.70,63813,65509
5.38.72.71,10.11.4.71,1024,2720
5.38.72.71,10.11.5.71,2721,4417
5.38.72.71,10.11.6.71,4418,6114
5.38.72.71,10.11.7.71,6115,7811
5.38.72.71,10.11.8.71,7812,9508
5.38.72.71,10.11.9.71,9509,11205
5.38.72.71,10.11.10.71,11206,12902
5.38.72.71,10.11.11.71,12903,14599
5.38.72.71,10.11.12.71,14600,16296
5.38.72.71,10.11.13.71,16297,17993
5.38.72.71,10.11.14.71,17994,19690
5.38.72.71,10.11.15.71,19691,21387
5.38.72.71,10.48.0.71,21388,23084
5.38.72.71,10.48.1.71,23085,24781
5.38.72.71,10.48.8.71,24782,26478
5.38.72.71,10.48.9.71,26479,28175
5.38.72.71,10.48.10.71,28176,29872
5.38.72.71,10.48.11.71,29873,31569
5.38.72.71,10.48.12.71,31570,33266
5.38.72.71,10.48.13.71,33267,34963
5.38.72.71,10.48.14.71,34964,36660
5.38.72.71,10.48.15.71,36661,38357
5.38.72.71,10.48.16.71,38358,40054
5.38.72.71,10.48.17.71,40055,41751
5.38.72.71,10.48.18.71,41752,43448
5.38.72.71,10.48.19.71,43449,45145
5.38.72.71,10.48.20.71,45146,46842
5.38.72.71,10.48.21.71,46843,48539
5.38.72.71,10.48.22.71,48540,50236
5.38.72.71,10.48.23.71,50237,51933
5.38.72.71,10.48.24.71,51934,53630
5.38.72.71,10.48.25.71,53631,55327
5.38.72.71,10.48.26.71,55328,57024
5.38.72.71,10.48.27.71,57025,58721
5.38.72.71,10.48.28.71,58722,60418
5.38.72.71,10.48.29.71,60419,62115
5.38.72.71,10.48.30.71,62116,63812
5.38.72.71,10.48.31.71,63813,65509
5.38.72.72,10.11.4.72,1024,2720
5.38.72.72,10.11.5.72,2721,4417
5.38.72.72,10.11.6.72,4418,6114
5.38.72.72,10.11.7.72,6115,7811
5.38.72.72,10.11.8.72,7812,9508
5.38.72.72,10.11.9.72,9509,11205
5.38.72.72,10.11.10.72,11206,12902
5.38.72.72,10.11.11.72,12903,14599
5.38.72.72,10.11.12.72,14600,16296
5.38.72.72,10.11.13.72,16297,17993
5.38.72.72,10.11.14.72,17994,19690
5.38.72.72,10.11.15.72,19691,21387
5.38.72.72,10.48.0.72,21388,23084
5.38.72.72,10.48.1.72,23085,24781
5.38.72.72,10.48.8.72,24782,26478
5.38.72.72,10.48.9.72,26479,28175
5.38.72.72,10.48.10.72,28176,29872
5.38.72.72,10.48.11.72,29873,31569
5.38.72.72,10.48.12.72,31570,33266
5.38.72.72,10.48.13.72,33267,34963
5.38.72.72,10.48.14.72,34964,36660
5.38.72.72,10.48.15.72,36661,38357
5.38.72.72,10.48.16.72,38358,40054
5.38.72.72,10.48.17.72,40055,41751
5.38.72.72,10.48.18.72,41752,43448
5.38.72.72,10.48.19.72,43449,45145
5.38.72.72,10.48.20.72,45146,46842
5.38.72.72,10.48.21.72,46843,48539
5.38.72.72,10.48.22.72,48540,50236
5.38.72.72,10.48.23.72,50237,51933
5.38.72.72,10.48.24.72,51934,53630
5.38.72.72,10.48.25.72,53631,55327
5.38.72.72,10.48.26.72,55328,57024
5.38.72.72,10.48.27.72,57025,58721
5.38.72.72,10.48.28.72,58722,60418
5.38.72.72,10.48.29.72,60419,62115
5.38.72.72,10.48.30.72,62116,63812
5.38.72.72,10.48.31.72,63813,65509
5.38.72.73,10.11.4.73,1024,2720
5.38.72.73,10.11.5.73,2721,4417
5.38.72.73,10.11.6.73,4418,6114
5.38.72.73,10.11.7.73,6115,7811
5.38.72.73,10.11.8.73,7812,9508
5.38.72.73,10.11.9.73,9509,11205
5.38.72.73,10.11.10.73,11206,12902
5.38.72.73,10.11.11.73,12903,14599
5.38.72.73,10.11.12.73,14600,16296
5.38.72.73,10.11.13.73,16297,17993
5.38.72.73,10.11.14.73,17994,19690
5.38.72.73,10.11.15.73,19691,21387
5.38.72.73,10.48.0.73,21388,23084
5.38.72.73,10.48.1.73,23085,24781
5.38.72.73,10.48.8.73,24782,26478
5.38.72.73,10.48.9.73,26479,28175
5.38.72.73,10.48.10.73,28176,29872
5.38.72.73,10.48.11.73,29873,31569
5.38.72.73,10.48.12.73,31570,33266
5.38.72.73,10.48.13.73,33267,34963
5.38.72.73,10.48.14.73,34964,36660
5.38.72.73,10.48.15.73,36661,38357
5.38.72.73,10.48.16.73,38358,40054
5.38.72.73,10.48.17.73,40055,41751
5.38.72.73,10.48.18.73,41752,43448
5.38.72.73,10.48.19.73,43449,45145
5.38.72.73,10.48.20.73,45146,46842
5.38.72.73,10.48.21.73,46843,48539
5.38.72.73,10.48.22.73,48540,50236
5.38.72.73,10.48.23.73,50237,51933
5.38.72.73,10.48.24.73,51934,53630
5.38.72.73,10.48.25.73,53631,55327
5.38.72.73,10.48.26.73,55328,57024
5.38.72.73,10.48.27.73,57025,58721
5.38.72.73,10.48.28.73,58722,60418
5.38.72.73,10.48.29.73,60419,62115
5.38.72.73,10.48.30.73,62116,63812
5.38.72.73,10.48.31.73,63813,65509
5.38.72.74,10.11.4.74,1024,2720
5.38.72.74,10.11.5.74,2721,4417
5.38.72.74,10.11.6.74,4418,6114
5.38.72.74,10.11.7.74,6115,7811
5.38.72.74,10.11.8.74,7812,9508
5.38.72.74,10.11.9.74,9509,11205
5.38.72.74,10.11.10.74,11206,12902
5.38.72.74,10.11.11.74,12903,14599
5.38.72.74,10.11.12.74,14600,16296
5.38.72.74,10.11.13.74,16297,17993
5.38.72.74,10.11.14.74,17994,19690
5.38.72.74,10.11.15.74,19691,21387
5.38.72.74,10.48.0.74,21388,23084
5.38.72.74,10.48.1.74,23085,24781
5.38.72.74,10.48.8.74,24782,26478
5.38.72.74,10.48.9.74,26479,28175
5.38.72.74,10.48.10.74,28176,29872
5.38.72.74,10.48.11.74,29873,31569
5.38.72.74,10.48.12.74,31570,33266
5.38.72.74,10.48.13.74,33267,34963
5.38.72.74,10.48.14.74,34964,36660
5.38.72.74,10.48.15.74,36661,38357
5.38.72.74,10.48.16.74,38358,40054
5.38.72.74,10.48.17.74,40055,41751
5.38.72.74,10.48.18.74,41752,43448
5.38.72.74,10.48.19.74,43449,45145
5.38.72.74,10.48.20.74,45146,46842
5.38.72.74,10.48.21.74,46843,48539
5.38.72.74,10.48.22.74,48540,50236
5.38.72.74,10.48.23.74,50237,51933
5.38.72.74,10.48.24.74,51934,53630
5.38.72.74,10.48.25.74,53631,55327
5.38.72.74,10.48.26.74,55328,57024
5.38.72.74,10.48.27.74,57025,58721
5.38.72.74,10.48.28.74,58722,60418
5.38.72.74,10.48.29.74,60419,62115
5.38.72.74,10.48.30.74,62116,63812
5.38.72.74,10.48.31.74,63813,65509
5.38.72.75,10.11.4.75,1024,2720
5.38.72.75,10.11.5.75,2721,4417
5.38.72.75,10.11.6.75,4418,6114
5.38.72.75,10.11.7.75,6115,7811
5.38.72.75,10.11.8.75,7812,9508
5.38.72.75,10.11.9.75,9509,11205
5.38.72.75,10.11.10.75,11206,12902
5.38.72.75,10.11.11.75,12903,14599
5.38.72.75,10.11.12.75,14600,16296
5.38.72.75,10.11.13.75,16297,17993
5.38.72.75,10.11.14.75,17994,19690
5.38.72.75,10.11.15.75,19691,21387
5.38.72.75,10.48.0.75,21388,23084
5.38.72.75,10.48.1.75,23085,24781
5.38.72.75,10.48.8.75,24782,26478
5.38.72.75,10.48.9.75,26479,28175
5.38.72.75,10.48.10.75,28176,29872
5.38.72.75,10.48.11.75,29873,31569
5.38.72.75,10.48.12.75,31570,33266
5.38.72.75,10.48.13.75,33267,34963
5.38.72.75,10.48.14.75,34964,36660
5.38.72.75,10.48.15.75,36661,38357
5.38.72.75,10.48.16.75,38358,40054
5.38.72.75,10.48.17.75,40055,41751
5.38.72.75,10.48.18.75,41752,43448
5.38.72.75,10.48.19.75,43449,45145
5.38.72.75,10.48.20.75,45146,46842
5.38.72.75,10.48.21.75,46843,48539
5.38.72.75,10.48.22.75,48540,50236
5.38.72.75,10.48.23.75,50237,51933
5.38.72.75,10.48.24.75,51934,53630
5.38.72.75,10.48.25.75,53631,55327
5.38.72.75,10.48.26.75,55328,57024
5.38.72.75,10.48.27.75,57025,58721
5.38.72.75,10.48.28.75,58722,60418
5.38.72.75,10.48.29.75,60419,62115
5.38.72.75,10.48.30.75,62116,63812
5.38.72.75,10.48.31.75,63813,65509
5.38.72.76,10.11.4.76,1024,2720
5.38.72.76,10.11.5.76,2721,4417
5.38.72.76,10.11.6.76,4418,6114
5.38.72.76,10.11.7.76,6115,7811
5.38.72.76,10.11.8.76,7812,9508
5.38.72.76,10.11.9.76,9509,11205
5.38.72.76,10.11.10.76,11206,12902
5.38.72.76,10.11.11.76,12903,14599
5.38.72.76,10.11.12.76,14600,16296
5.38.72.76,10.11.13.76,16297,17993
5.38.72.76,10.11.14.76,17994,19690
5.38.72.76,10.11.15.76,19691,21387
5.38.72.76,10.48.0.76,21388,23084
5.38.72.76,10.48.1.76,23085,24781
5.38.72.76,10.48.8.76,24782,26478
5.38.72.76,10.48.9.76,26479,28175
5.38.72.76,10.48.10.76,28176,29872
5.38.72.76,10.48.11.76,29873,31569
5.38.72.76,10.48.12.76,31570,33266
5.38.72.76,10.48.13.76,33267,34963
5.38.72.76,10.48.14.76,34964,36660
5.38.72.76,10.48.15.76,36661,38357
5.38.72.76,10.48.16.76,38358,40054
5.38.72.76,10.48.17.76,40055,41751
5.38.72.76,10.48.18.76,41752,43448
5.38.72.76,10.48.19.76,43449,45145
5.38.72.76,10.48.20.76,45146,46842
5.38.72.76,10.48.21.76,46843,48539
5.38.72.76,10.48.22.76,48540,50236
5.38.72.76,10.48.23.76,50237,51933
5.38.72.76,10.48.24.76,51934,53630
5.38.72.76,10.48.25.76,53631,55327
5.38.72.76,10.48.26.76,55328,57024
5.38.72.76,10.48.27.76,57025,58721
5.38.72.76,10.48.28.76,58722,60418
5.38.72.76,10.48.29.76,60419,62115
5.38.72.76,10.48.30.76,62116,63812
5.38.72.76,10.48.31.76,63813,65509
5.38.72.77,10.11.4.77,1024,2720
5.38.72.77,10.11.5.77,2721,4417
5.38.72.77,10.11.6.77,4418,6114
5.38.72.77,10.11.7.77,6115,7811
5.38.72.77,10.11.8.77,7812,9508
5.38.72.77,10.11.9.77,9509,11205
5.38.72.77,10.11.10.77,11206,12902
5.38.72.77,10.11.11.77,12903,14599
5.38.72.77,10.11.12.77,14600,16296
5.38.72.77,10.11.13.77,16297,17993
5.38.72.77,10.11.14.77,17994,19690
5.38.72.77,10.11.15.77,19691,21387
5.38.72.77,10.48.0.77,21388,23084
5.38.72.77,10.48.1.77,23085,24781
5.38.72.77,10.48.8.77,24782,26478
5.38.72.77,10.48.9.77,26479,28175
5.38.72.77,10.48.10.77,28176,29872
5.38.72.77,10.48.11.77,29873,31569
5.38.72.77,10.48.12.77,31570,33266
5.38.72.77,10.48.13.77,33267,34963
5.38.72.77,10.48.14.77,34964,36660
5.38.72.77,10.48.15.77,36661,38357
5.38.72.77,10.48.16.77,38358,40054
5.38.72.77,10.48.17.77,40055,41751
5.38.72.77,10.48.18.77,41752,43448
5.38.72.77,10.48.19.77,43449,45145
5.38.72.77,10.48.20.77,45146,46842
5.38.72.77,10.48.21.77,46843,48539
5.38.72.77,10.48.22.77,48540,50236
5.38.72.77,10.48.23.77,50237,51933
5.38.72.77,10.48.24.77,51934,53630
5.38.72.77,10.48.25.77,53631,55327
5.38.72.77,10.48.26.77,55328,57024
5.38.72.77,10.48.27.77,57025,58721
5.38.72.77,10.48.28.77,58722,60418
5.38.72.77,10.48.29.77,60419,62115
5.38.72.77,10.48.30.77,62116,63812
5.38.72.77,10.48.31.77,63813,65509
5.38.72.78,10.11.4.78,1024,2720
5.38.72.78,10.11.5.78,2721,4417
5.38.72.78,10.11.6.78,4418,6114
5.38.72.78,10.11.7.78,6115,7811
5.38.72.78,10.11.8.78,7812,9508
5.38.72.78,10.11.9.78,9509,11205
5.38.72.78,10.11.10.78,11206,12902
5.38.72.78,10.11.11.78,12903,14599
5.38.72.78,10.11.12.78,14600,16296
5.38.72.78,10.11.13.78,16297,17993
5.38.72.78,10.11.14.78,17994,19690
5.38.72.78,10.11.15.78,19691,21387
5.38.72.78,10.48.0.78,21388,23084
5.38.72.78,10.48.1.78,23085,24781
5.38.72.78,10.48.8.78,24782,26478
