nat,inside,start_port,end_port
5.38.72.3,10.48.10.3,28176,29872
5.38.72.3,10.48.11.3,29873,31569
5.38.72.3,10.48.12.3,31570,33266
5.38.72.3,10.48.13.3,33267,34963
5.38.72.3,10.48.14.3,34964,36660
5.38.72.3,10.48.15.3,36661,38357
5.38.72.3,10.48.16.3,38358,40054
5.38.72.3,10.48.17.3,40055,41751
5.38.72.3,10.48.18.3,41752,43448
5.38.72.3,10.48.19.3,43449,45145
5.38.72.3,10.48.20.3,45146,46842
5.38.72.3,10.48.21.3,46843,48539
5.38.72.3,10.48.22.3,48540,50236
5.38.72.3,10.48.23.3,50237,51933
5.38.72.3,10.48.24.3,51934,53630
5.38.72.3,10.48.25.3,53631,55327
5.38.72.3,10.48.26.3,55328,57024
5.38.72.3,10.48.27.3,57025,58721
5.38.72.3,10.48.28.3,58722,60418
5.38.72.3,10.48.29.3,60419,62115
5.38.72.3,10.48.30.3,62116,63812
5.38.72.3,10.48.31.3,63813,65509
5.38.72.4,10.11.4.4,1024,2720
5.38.72.4,10.11.5.4,2721,4417
5.38.72.4,10.11.6.4,4418,6114
5.38.72.4,10.11.7.4,6115,7811
5.38.72.4,10.11.8.4,7812,9508
5.38.72.4,10.11.9.4,9509,11205
5.38.72.4,10.11.10.4,11206,12902
5.38.72.4,10.11.11.4,12903,14599
5.38.72.4,10.11.12.4,14600,16296
5.38.72.4,10.11.13.4,16297,17993
5.38.72.4,10.11.14.4,17994,19690
5.38.72.4,10.11.15.4,19691,21387
5.38.72.4,10.48.0.4,21388,23084
5.38.72.4,10.48.1.4,23085,24781
5.38.72.4,10.48.8.4,24782,26478
5.38.72.4,10.48.9.4,26479,28175
5.38.72.4,10.48.10.4,28176,29872
5.38.72.4,10.48.11.4,29873,31569
5.38.72.4,10.48.12.4,31570,33266
5.38.72.4,10.48.13.4,33267,34963
5.38.72.4,10.48.14.4,34964,36660
5.38.72.4,10.48.15.4,36661,38357
5.38.72.4,10.48.16.4,38358,40054
5.38.72.4,10.48.17.4,40055,41751
5.38.72.4,10.48.18.4,41752,43448
5.38.72.4,10.48.19.4,43449,45145
5.38.72.4,10.48.20.4,45146,46842
5.38.72.4,10.48.21.4,46843,48539
5.38.72.4,10.48.22.4,48540,50236
5.38.72.4,10.48.23.4,50237,51933
5.38.72.4,10.48.24.4,51934,53630
5.38.72.4,10.48.25.4,53631,55327
5.38.72.4,10.48.26.4,55328,57024
5.38.72.4,10.48.27.4,57025,58721
5.38.72.4,10.48.28.4,58722,60418
5.38.72.4,10.48.29.4,60419,62115
5.38.72.4,10.48.30.4,62116,63812
5.38.72.4,10.48.31.4,63813,65509
5.38.72.5,10.11.4.5,1024,2720
5.38.72.5,10.11.5.5,2721,4417
5.38.72.5,10.11.6.5,4418,6114
5.38.72.5,10.11.7.5,6115,7811
5.38.72.5,10.11.8.5,7812,9508
5.38.72.5,10.11.9.5,9509,11205
5.38.72.5,10.11.10.5,11206,12902
5.38.72.5,10.11.11.5,12903,14599
5.38.72.5,10.11.12.5,14600,16296
5.38.72.5,10.11.13.5,16297,17993
5.38.72.5,10.11.14.5,17994,19690
5.38.72.5,10.11.15.5,19691,21387
5.38.72.5,10.48.0.5,21388,23084
5.38.72.5,10.48.1.5,23085,24781
5.38.72.5,10.48.8.5,24782,26478
5.38.72.5,10.48.9.5,26479,28175
5.38.72.5,10.48.10.5,28176,29872
5.38.72.5,10.48.11.5,29873,31569
5.38.72.5,10.48.12.5,31570,33266
5.38.72.5,10.48.13.5,33267,34963
5.38.72.5,10.48.14.5,34964,36660
5.38.72.5,10.48.15.5,36661,38357
5.38.72.5,10.48.16.5,38358,40054
5.38.72.5,10.48.17.5,40055,41751
5.38.72.5,10.48.18.5,41752,43448
5.38.72.5,10.48.19.5,43449,45145
5.38.72.5,10.48.20.5,45146,46842
5.38.72.5,10.48.21.5,46843,48539
5.38.72.5,10.48.22.5,48540,50236
5.38.72.5,10.48.23.5,50237,51933
5.38.72.5,10.48.24.5,51934,53630
5.38.72.5,10.48.25.5,53631,55327
5.38.72.5,10.48.26.5,55328,57024
5.38.72.5,10.48.27.5,57025,58721
5.38.72.5,10.48.28.5,58722,60418
5.38.72.5,10.48.29.5,60419,62115
5.38.72.5,10.48.30.5,62116,63812
5.38.72.5,10.48.31.5,63813,65509
5.38.72.6,10.11.4.6,1024,2720
5.38.72.6,10.11.5.6,2721,4417
5.38.72.6,10.11.6.6,4418,6114
5.38.72.6,10.11.7.6,6115,7811
5.38.72.6,10.11.8.6,7812,9508
5.38.72.6,10.11.9.6,9509,11205
5.38.72.6,10.11.10.6,11206,12902
5.38.72.6,10.11.11.6,12903,14599
5.38.72.6,10.11.12.6,14600,16296
5.38.72.6,10.11.13.6,16297,17993
5.38.72.6,10.11.14.6,17994,19690
5.38.72.6,10.11.15.6,19691,21387
5.38.72.6,10.48.0.6,21388,23084
5.38.72.6,10.48.1.6,23085,24781
5.38.72.6,10.48.8.6,24782,26478
5.38.72.6,10.48.9.6,26479,28175
5.38.72.6,10.48.10.6,28176,29872
5.38.72.6,10.48.11.6,29873,31569
5.38.72.6,10.48.12.6,31570,33266
5.38.72.6,10.48.13.6,33267,34963
5.38.72.6,10.48.14.6,34964,36660
5.38.72.6,10.48.15.6,36661,38357
5.38.72.6,10.48.16.6,38358,40054
5.38.72.6,10.48.17.6,40055,41751
5.38.72.6,10.48.18.6,41752,43448
5.38.72.6,10.48.19.6,43449,45145
5.38.72.6,10.48.20.6,45146,46842
5.38.72.6,10.48.21.6,46843,48539
5.38.72.6,10.48.22.6,48540,50236
5.38.72.6,10.48.23.6,50237,51933
5.38.72.6,10.48.24.6,51934,53630
5.38.72.6,10.48.25.6,53631,55327
5.38.72.6,10.48.26.6,55328,57024
5.38.72.6,10.48.27.6,57025,58721
5.38.72.6,10.48.28.6,58722,60418
5.38.72.6,10.48.29.6,60419,62115
5.38.72.6,10.48.30.6,62116,63812
5.38.72.6,10.48.31.6,63813,65509
5.38.72.7,10.11.4.7,1024,2720
5.38.72.7,10.11.5.7,2721,4417
5.38.72.7,10.11.6.7,4418,6114
5.38.72.7,10.11.7.7,6115,7811
5.38.72.7,10.11.8.7,7812,9508
5.38.72.7,10.11.9.7,9509,11205
5.38.72.7,10.11.10.7,11206,12902
5.38.72.7,10.11.11.7,12903,14599
5.38.72.7,10.11.12.7,14600,16296
5.38.72.7,10.11.13.7,16297,17993
5.38.72.7,10.11.14.7,17994,19690
5.38.72.7,10.11.15.7,19691,21387
5.38.72.7,10.48.0.7,21388,23084
5.38.72.7,10.48.1.7,23085,24781
5.38.72.7,10.48.8.7,24782,26478
5.38.72.7,10.48.9.7,26479,28175
5.38.72.7,10.48.10.7,28176,29872
5.38.72.7,10.48.11.7,29873,31569
5.38.72.7,10.48.12.7,31570,33266
5.38.72.7,10.48.13.7,33267,34963
5.38.72.7,10.48.14.7,34964,36660
5.38.72.7,10.48.15.7,36661,38357
5.38.72.7,10.48.16.7,38358,40054
5.38.72.7,10.48.17.7,40055,41751
5.38.72.7,10.48.18.7,41752,43448
5.38.72.7,10.48.19.7,43449,45145
5.38.72.7,10.48.20.7,45146,46842
5.38.72.7,10.48.21.7,46843,48539
5.38.72.7,10.48.22.7,48540,50236
5.38.72.7,10.48.23.7,50237,51933
5.38.72.7,10.48.24.7,51934,53630
5.38.72.7,10.48.25.7,53631,55327
5.38.72.7,10.48.26.7,55328,57024
5.38.72.7,10.48.27.7,57025,58721
5.38.72.7,10.48.28.7,58722,60418
5.38.72.7,10.48.29.7,60419,62115
5.38.72.7,10.48.30.7,62116,63812
5.38.72.7,10.48.31.7,63813,65509
5.38.72.8,10.11.4.8,1024,2720
5.38.72.8,10.11.5.8,2721,4417
5.38.72.8,10.11.6.8,4418,6114
5.38.72.8,10.11.7.8,6115,7811
5.38.72.8,10.11.8.8,7812,9508
5.38.72.8,10.11.9.8,9509,11205
5.38.72.8,10.11.10.8,11206,12902
5.38.72.8,10.11.11.8,12903,14599
5.38.72.8,10.11.12.8,14600,16296
5.38.72.8,10.11.13.8,16297,17993
5.38.72.8,10.11.14.8,17994,19690
5.38.72.8,10.11.15.8,19691,21387
5.38.72.8,10.48.0.8,21388,23084
5.38.72.8,10.48.1.8,23085,24781
5.38.72.8,10.48.8.8,24782,26478
5.38.72.8,10.48.9.8,26479,28175
5.38.72.8,10.48.10.8,28176,29872
5.38.72.8,10.48.11.8,29873,31569
5.38.72.8,10.48.12.8,31570,33266
5.38.72.8,10.48.13.8,33267,34963
5.38.72.8,10.48.14.8,34964,36660
5.38.72.8,10.48.15.8,36661,38357
5.38.72.8,10.48.16.8,38358,40054
5.38.72.8,10.48.17.8,40055,41751
5.38.72.8,10.48.18.8,41752,43448
5.38.72.8,10.48.19.8,43449,45145
5.38.72.8,10.48.20.8,45146,46842
5.38.72.8,10.48.21.8,46843,48539
5.38.72.8,10.48.22.8,48540,50236
5.38.72.8,10.48.23.8,50237,51933
5.38.72.8,10.48.24.8,51934,53630
5.38.72.8,10.48.25.8,53631,55327
5.38.72.8,10.48.26.8,55328,57024
5.38.72.8,10.48.27.8,57025,58721
5.38.72.8,10.48.28.8,58722,60418
5.38.72.8,10.48.29.8,60419,62115
5.38.72.8,10.48.30.8,62116,63812
5.38.72.8,10.48.31.8,63813,65509
5.38.72.9,10.11.4.9,1024,2720
5.38.72.9,10.11.5.9,2721,4417
5.38.72.9,10.11.6.9,4418,6114
5.38.72.9,10.11.7.9,6115,7811
5.38.72.9,10.11.8.9,7812,9508
5.38.72.9,10.11.9.9,9509,11205
5.38.72.9,10.11.10.9,11206,12902
5.38.72.9,10.11.11.9,12903,14599
5.38.72.9,10.11.12.9,14600,16296
5.38.72.9,10.11.13.9,16297,17993
5.38.72.9,10.11.14.9,17994,19690
5.38.72.9,10.11.15.9,19691,21387
5.38.72.9,10.48.0.9,21388,23084
5.38.72.9,10.48.1.9,23085,24781
5.38.72.9,10.48.8.9,24782,26478
5.38.72.9,10.48.9.9,26479,28175
5.38.72.9,10.48.10.9,28176,29872
5.38.72.9,10.48.11.9,29873,31569
5.38.72.9,10.48.12.9,31570,33266
5.38.72.9,10.48.13.9,33267,34963
5.38.72.9,10.48.14.9,34964,36660
5.38.72.9,10.48.15.9,36661,38357
5.38.72.9,10.48.16.9,38358,40054
5.38.72.9,10.48.17.9,40055,41751
5.38.72.9,10.48.18.9,41752,43448
5.38.72.9,10.48.19.9,43449,45145
5.38.72.9,10.48.20.9,45146,46842
5.38.72.9,10.48.21.9,46843,48539
5.38.72.9,10.48.22.9,48540,50236
5.38.72.9,10.48.23.9,50237,51933
5.38.72.9,10.48.24.9,51934,53630
5.38.72.9,10.48.25.9,53631,55327
5.38.72.9,10.48.26.9,55328,57024
5.38.72.9,10.48.27.9,57025,58721
5.38.72.9,10.48.28.9,58722,60418
5.38.72.9,10.48.29.9,60419,62115
5.38.72.9,10.48.30.9,62116,63812
5.38.72.9,10.48.31.9,63813,65509
5.38.72.10,10.11.4.10,1024,2720
5.38.72.10,10.11.5.10,2721,4417
5.38.72.10,10.11.6.10,4418,6114
5.38.72.10,10.11.7.10,6115,7811
5.38.72.10,10.11.8.10,7812,9508
5.38.72.10,10.11.9.10,9509,11205
5.38.72.10,10.11.10.10,11206,12902
